시군구,의료기관명,진료과수,병상수,전화번호,주소,Latitude,Longitude,국민안심병원 여부,감염병전담기관 여부,감염병전담기관 외래진료 가능여부
강원도 인제군,인제고려병원,4,41,033-461-0088,강원도 인제군 인제읍 비봉로 19,38.0676277,128.1735464,,,
강원도 정선군,근로복지공단 정선병원,3,228,033-560-7100,강원도 정선군 정선읍 봉양1길 145,37.3830173,128.6587563,,,
강원도 철원군,철원병원,14,95,033-452-5011,강원도 철원군 갈말읍 명성로 208,38.1502529,127.3077345,,,
강원도 춘천시,강원대병원,26,680,033-258-2000,강원도 춘천시 백령로 156(효자동),37.8753509,127.7450198,Y,,
강원도 춘천시,인성병원,8,116,033-253-3030,강원도 춘천시 금강로 39(낙원동),37.8809308,127.7249521,,,
강원도 태백시,근로복지공단 태백병원,12,544,033-580-3114,강원도 태백시 보드미길 8 (장성동),37.1034236,129.005278,,,
강원도 평창군,평창군보건의료원,10,30,033-332-6120,강원도 평창군 평창읍 종부로 61,37.3607053,128.3890248,,,
강원도 홍천군,서울드림의원,2,0,033-433-3354,강원도 홍천군 홍천읍 신장대로 47-1,37.6903254,127.881519,,,
강원도 홍천군,홍천아산병원,8,132,033-430-5104,강원도 홍천군 홍천읍 산림공원 1길17,37.6906658,127.8946511,Y,,
강원도 화천군,화천군보건의료원,6,30,033-442-4424,강원도 화천군 화천읍 강변로 111,38.1075314,127.7091133,,,
강원도 횡성군,횡성대성병원,5,98,033-343-0901,강원도 횡성군 횡성읍 횡성로 275,37.4783172,127.9797883,,,
경기도 가평군,가평성모의원,3,19,031-582-1833,경기도 가평군 가평읍 가화로 75,37.8264472,127.5148617,,,
경기도 가평군,HJ매그놀리아국제병원,7,167,031-589-4300,경기도 가평군 설악면 미사리로 267-177,37.6908251,127.5216892,,,
경기도 고양시,인제대학교 일산백병원,23,651,031-910-7114,경기도 고양시 일산서구 주화로 170 (대화동),37.6742288,126.750367,Y,,
경기도 고양시,일산복음병원,7,142,031-977-5000,경기도 고양시 일산동구 고양대로 760 (중산동),37.6819724,126.7801252,Y,,
경기도 광명시,광명성애병원,23,466,02-2680-7114,경기도 광명시 디지털로 36 (철산동),37.4732445,126.8718849,Y,,
경기도 광명시,광명새움병원,5,67,1661-6888,"경기도 광명시 오리로 518, CL타워 4층",37.4522833,126.8700011,,,
경기도 광주시,더플러스병원,9,83,031-763-7582,경기도 광주시 경안로40,37.4095535,127.2561902,Y,,
경기도 광주시,퇴촌중앙의원,1,0,031-766-6211,경기도 광주시 퇴촌면 광동로 33,37.4706744,127.3064565,,,
경기도 구리시,윤서병원,7,218,031-553-6650,경기도 건원대로 47,37.605184,127.1395189,,,
경기도 군포시,원광대학교 의과대학 산본병원,27,272,031-390-2300,경기도 군포시 산본로 321,37.3593764,126.9335943,Y,,
경기도 김포시,김포우리병원,18,274,031-999-1000,경기도 김포시 감암로 11 (걸포동),37.6323493,126.7107705,Y,,
경기도 김포시,박원종내과의원,2,0,031-996-3722,경기도 김포시 통진읍 김포대로 2230번길21-3,37.6906411,126.5986924,,,
경기도 남양주시,남양주백병원,5,70,031-572-3111,경기도 남양주시 진접읍 봉현로 26,37.7160096,127.1801726,,,
경기도 남양주시,원병원,7,151,031-590-3114,경기도 남양주시 화도읍 경춘로 1943-16,37.6518762,127.3043556,,,
경기도 동두천시,동두천 중앙성모병원,13,185,031-863-0550,경기도 동광로 53 생연동,37.9103377,127.0546129,,,
경기도 부천시,다니엘종합병원,15,281,032-670-0001,경기도 부천시 원미구 중동로 361 (약대동),37.5122452,126.7694774,Y,,
경기도 부천시,메디홀스요양병원,8,417,032-656-0371,경기도 부천시 소사구 경인로110번길 18 (송내동),37.483186,126.7674836,,,
경기도 성남시,성남중앙병원,15,230,031-743-3000,경기도 성남시 중원구 산성대로476번길 12 (금광동),37.4527005,127.1620743,,,
경기도 성남시,성모윌병원,10,160,1833-7512,경기도 성남시 수정구 성남대로 1171,37.4344256,127.1282512,,,
경기도 성남시,연세제일내과의원,1,0,031-755-4243,"경기도 성남시 중원구 성남대로 1148번길2,5층(소평빌딩)",37.4322326,127.1295004,,,
경기도 수원시,경기도립의료원수원병원,13,150,031-888-0114,경기도 수원시 장안구 수성로245번길 69 (정자동),37.2920141,126.996646,,Y,N
경기도 수원시,동수원병원,24,443,031-210-0114,경기도 수원시 팔달구 중부대로 165 (우만동),37.278441,127.0343254,Y,,
경기도 수원시,다인병원,7,76,031-8014-1315,경기도 수원시 장안구 창룡대로 159 (연무동),37.2925762,127.0296959,,,
경기도 시흥시,센트럴병원,16,237,031-8041-3000,경기도 시흥시 공단1대로 237 (정왕동),37.3367245,126.7281671,Y,,
경기도 시흥시,자운의료재단 강남요양병원,1,75,031-311-0700,"수인로3325번길10 3층 301,302,306,308호(신천동)",37.438169,126.788186,,,
경기도 안산시,근로복지공단 안산병원,16,485,031-500-1114,경기도 안산시 상록구 구룡로 87 (일동),37.3166128,126.8743722,Y,,
경기도 안산시,안산무지개 연합의원,3,0,031-405-9011,"경기도 안산시 항가울로 422, 롯데마트 3층",37.3180115,126.8461214,,,
경기도 안성시,경기도의료원 안성병원,12,151,031-674-7520,경기도 안성시 고수2로 17 (당왕동),37.0150833,127.2576532,,Y,N
경기도 안성시,안성동인병원,3,65,031-677-0300,경기도 안성시 인지1길 9 (인지동),37.0052095,127.2667908,,,
경기도 안양시,샘안양병원,24,423,031-467-9114,경기도 안양시 만안구 삼덕로 9 (안양동),37.3934995,126.9245371,,,
경기도 안양시,김형근예병원,7,56,031-421-7575,동안구 관악대로 458(서진빌딩),37.4036972,126.9733368,,,
경기도 양주시,21세기내과의원,3,0,031-847-8600,"고읍남로 6-16(광사동,광장프라자3층)",37.7956094,127.0801064,,,
경기도 양주시,양주예쓰병원,9,178,031-825-5000,경기도 양주시 회정로 103 (덕정동),37.8377357,127.0645178,,,
경기도 양평군,양평병원,8,135,031-770-5000,경기도 양평군 양평읍 중앙로 129,37.4939802,127.5033376,,,
경기도 여주시,여주세종병원,5,72,031-880-7700,경기도 여주시 청심로 47,37.3012921,127.6267058,Y,,
경기도 연천군,연천군보건의료원,10,50,031-839-4001,경기도 연천군 전곡읍 은대성로 95,38.0233652,127.0612435,,,
경기도 오산시,조은오산병원,13,223,1544-5355,경기도 오산시 오산로 307,37.1542863,127.0683933,Y,,
경기도 용인시,다보스병원 (의료법인 영문의료재단),12,255,031-8021-2127,경기도 용인시 처인구 백옥대로1082번길 18 (김량장동),37.2314675,127.2113666,Y,,
경기도 용인시,용인강남병원,10,162,031-300-0114,경기도 용인시 기흥구 중부대로 411 (신갈동),37.2703448,127.0993812,Y,,
경기도 의왕시,아가페의료재단 시티병원,9,200,031-340-0114,경기 의왕시 오전천로 29번지 (오전동) 시티병원,37.3502976,126.9768155,,,
경기도 의정부시,경기도의료원 의정부병원,18,252,031-828-5000,경기도 의정부시 흥선로 142,37.7410385,127.0425242,,,
경기도 의정부시,추병원,11,213,031-845-7777,경기도 의정부시 평화로 650 (의정부동),37.7499591,127.0450362,,,
경기도 의정부시,성베드로병원,9,124,1544-1131,평화로 622,37.7474524,127.0457992,Y,,
경기도 이천시,경기도의료원 이천병원,10,115,031-639-4800,경충대로 2742,,,Y,Y,Y
경기도 파주시,경기도의료원 파주병원,13,100,031-940-9100,경기도 파주시 중앙로 207,37.7545554,126.7796972,,Y,N
경기도 파주시,무척조은병원,5,111,031-954-1400,경기도 파주시 문산읍 방촌로 1675-20,37.8639482,126.7809311,,,
경기도 평택시,박애병원,12,173,031-652-2121,경기도 평택시 평택2로20번길 3 (평택동),36.9930038,127.0890655,Y,,
경기도 평택시,성심중앙병원,7,88,031-681-1119,경기도 평택시 안중읍 안현로서6길 16,36.984125,126.9275875,,,
경기도 포천시,경기도립의료원 포천병원,13,130,031-539-9114,경기도 포천시 포천로 1648,37.9031637,127.1981229,,Y,N
경기도 하남시,햇살병원,4,74,031-791-7330,경기도 하남시 신평로 51 (신장동),37.5384367,127.2046113,,,
경기도 화성시,화성중앙병원,11,184,031-352-8114,경기도 화성시 향남읍 발안로 5,37.1313154,126.9107719,Y,,
경기도 화성시,희망찬병원,0,81,031-221-6999,경기도 화성시 진안동 868-9,37.2131589,127.0374159,,,
경남 거제시,대우병원,18,300,055-680-8410,경상남도 거제시 두모길 16 (두모동),34.8722413,128.7217033,Y,,
경남 거제시,맑은샘병원,9,218,055-736-1004,거제시 연초면 거제대로 4477,34.8977915,128.6437816,Y,,
경남 거창군,거창적십자병원,12,84,055-949-3332,경상남도 거창군 거창읍 중앙로 91,35.6865089,127.9091208,Y,,
경남 고성군,강병원,8,159,055-673-0101,경상남도 고성군 고성읍 중앙로 49,34.9741735,128.3252156,,,
경남 김해시,김해중앙병원,16,299,055-330-6017,경상남도 김해시 분성로 94-8 (외동),35.2294136,128.8700167,Y,,
경남 김해시,메가병원,6,209,055-903-9000,계동로 237 (대청동) 메가병원,35.1913529,128.8039078,,,
경남 남해군,남해병원,14,135,055-863-2201,경상남도 남해군 남해읍 화전로 169,34.846164,127.8943923,,,
경남 밀양시,제일병원,7,87,055-352-7851,경남 밀양시 노상하4길 4,35.4962535,128.7482466,,,
경남 밀양시,행복한병원,5,60,055-391-0090,경상남도 밀양시 하남읍 수산중앙로 56-2,35.374616,128.7115406,,,
경남사천시,현대요양병원,5,180,055-834-2345,각산로 86 (서동) 현대요양병원,34.9303467,128.0654912,,,
경남사천시,경남도립사천노인전문병원,4,279,055-794-2900,축동면 서삼로 1110-35,35.0919386,128.0456745,,,
경남 산청군,청송의원,7,7,055-973-5422,경상남도 산청군 산청읍 웅석봉로 18,35.4156319,127.8758824,,,
경남 양산시,웅상중앙병원,14,299,055-912-8000,경상남도 양산시 서창로 59,35.4063743,129.1645487,,,
경남 양산시,신세계요양병원,5,289,055-365-6666,경남 양산시 월라2길 45,35.3648266,129.1505559,,,
경남 양산시,양산내과영상의학과의원,4,0,055-385-1234,"경남 양산시 양산역6길3, 3층(중부동)",35.3377998,129.0266215,,,
경남 의령군,복음의원,9,0,055-573-9977,경상남도 의령군 의령읍 충익로 23-2,35.3182881,128.2619126,,,
경남 진주시,반도병원,8,201,055-749-0665,경상남도 진주시 남강로 701 (장대동),35.1931749,128.0881403,Y,,
경남 진주시,제일병원,7,87,055-750-7123,경남 진주시 진주대로 885,35.1793942,128.0899721,Y,,
경남 창녕군,태황의료재단 한성병원,8,91,055-530-5000,경상남도 창녕군 창녕읍 교리1길 2,35.5421395,128.4933873,,,
경남 창원시 마산회원구,365병원,12,202,055-248-0365,경남 창원시 마산회원구 3.15대로 686(석전동),35.2337554,128.5794914,Y,,
경남 창원시 마산합포구,마산의료원,16,264,055-249-1000,경남 창원시 마산 합포구 중앙동3가 3,35.1988628,128.566665,,Y,N
경남 창원시 의창구,메트로병원,12,243,055-259-7700,경상남도 창원시 평산로 215,35.2609029,128.6235209,,,
경남 창원시 의창구,창원파티마병원,22,447,055-270-1553,경남 창원시 의창구 창이대로 45,35.2371882,128.6457008,,,
경남 창원시 진해구,진해세광병원,7,22,055-540-3700,경상남도 창원시 진해구 중원동로 55-1 (중앙동),35.1479771,128.661552,,,
경남 창원시 진해구,진해연세병원,12,251,055-548-7708,경상남도 창원시 진해구 해원로32번길 13 (이동),35.1545448,128.6983452,Y,,
경남 창원시 의창구,푸른노인전문병원,9,597,055-270-8888,"경상남도 창원시 의창구 창원천로94번길 82-18 (대원동, 푸른노인전문병원)",35.2369082,128.6575663,,,
경남 통영시,새통영병원,10,294,055-646-6000,경상남도 통영시 무전7길 192(무전동),34.8653408,128.4207463,,,
경남 통영시,통영적십자병원,9,129,055-644-8901,경상남도 통영시 중앙로 97 (서호동),34.843288,128.4176161,,,
경남 하동군,서울안과의원,1,0,055-882-2075,경상남도 하동군 하동읍 중앙로 18,35.0704841,127.7505886,,,
경남 하동군,하동중앙의원,3,29,055-883-0222,경상남도 하동군 하동읍 연화길 16,35.0722528,127.7528135,,,
경남 함안군,새롬재활요양병원,8,385,055-580-5800,경상남도 함안군 칠원읍 예곡1길13,35.3,128.516667,,,
경남 함안군,참사랑의원,2,0,055-583-1928,경상남도 함안군 가야읍 중앙남1길34,35.2761445,128.4072079,,,
경남 함양군,함양성심병원,11,69,055-963-4322,경상남도 함양군 함양읍 용평길 31-13,35.5204027,127.7302539,Y,,
경북 경산시,경상북도립경산노인전문요양병원,7,280,053-819-0700,경상북도 경산시 경안로 23-10(상방동),35.8194604,128.7450106,,,
경북 경산시,세명병원,13,467,053-819-8389,경상북도 경산시 경안로 208 (중방동),35.8270822,128.7340727,Y,,
경북 경주시,동국대학교 경주병원,25,419,054-748-9300,경상북도 경주시 동대로 87 (석장동),35.8583073,129.1954409,Y,,
경북 경주시,중앙요양병원,5,199,054-773-8500,경상북도 경주시 금성로 281,35.8427778,129.2066799,,,
경북 경주시,큰마디병원,4,105,054-700-0119,경상북도 경주시 화랑로 130,35.8441723,129.2150584,,,
경북 고령군,의료법인 고령영생병원,4,79,054-955-2661,경상북도 고령군 고령읍 중앙로 33,35.7300901,128.2721327,,,
경북 구미시,삼성연합의원,6,16,054-474-8575,경상북도 구미시 인동가산로 19 (황상동),36.1142621,128.4410265,,,
경북 구미시,순천향대학교부속 구미병원,21,400,054-468-9592,경상북도 구미시 1공단로 179 (공단동),36.1030929,128.3826739,Y,,
경북 군위군,성누가의원,6,3,054-382-9911,경북 군위군 군위읍 동서길 33,36.2363371,128.5657822,,,
경북 김천시,김천남산종합의원,8,29,054-434-2111,경상북도 김천시 김천로 192 (남산동),36.1178114,128.1199857,,,
경북 김천시,김천의료원,13,165,054-432-8901,경북 김천시 모암길 24,36.1226447,128.1264564,,,
경북 문경시,동춘의료재단 문경제일병원,16,640,054-550-7700,경상북도 문경시 당교3길 25 (모전동),36.5843256,128.1891835,Y,,
경북 봉화군,(의)봉화해성병원,4,77,054-679-1510,경북 봉화군 봉화읍 보밑길 3,36.8916206,128.7333926,,,
경북 상주시,(의)삼백의료재단 상주성모병원,13,202,054-532-5001,경북 상주시 냉림동 350-5,36.4202835,128.1597746,Y,,
경북 상주시,제일안과의원,1,0,054-536-7585,경상북도 상주시 상산로 251 (남성동),36.4132517,128.1591936,,,
경북 성주군,석촌의료재단 성주무강병원,4,49,054-932-1212,경북 성주군 성주읍 성주읍3길 5-3,35.9188037,128.2864166,,,
경북 안동시,안동의료원,18,200,054-850-6000,경상북도 안동시 태사2길 55 (북문동),36.5681036,128.7318687,,Y,N
경북 영덕군,강구성모병원,8,0,054-733-9346,경상북도 영덕군 강구면 강구대게 2길 11-1,36.3595543,129.3834977,,,
경북 영덕군,영덕아산병원,6,68,054-730-0114,경상북도 영덕군 영해면 영덕로 1621,36.5243661,129.4024715,,,
경북 영양군,(의)명성의료재단 영양병원,3,50,054-682-0727,경상북도 영양군 영양읍 동서대로 75,36.6625188,129.1172504,,,
경북 영주시,영주가톨릭병원,4,99,054-639-8100,"경상북도 영주시 번영로 176 (영주동, 영주가톨릭병원)",36.8267278,128.6250429,,,
경북 영주시,의료법인청봉의료재단 성누가병원,9,130,054-639-9000,경상북도 영주시 구성로 329 (영주동),36.8262653,128.6238901,,,
경북 영천시,영남대학교영천병원,14,202,054-338-9000,경상북도 영천시 오수1길 10 (오수동),35.9572122,128.9130753,,,
경북 예천군,예천권병원,6,180,054-654-6611,경상북도 예천군 예천읍 시장로 136,36.6573136,128.4590263,,,
경북 울릉군,울릉군보건의료원,10,20,054-790-6878,경북 울릉군 울릉읍 울릉순환로 396-18,37.4899374,130.8985208,,,
경북 울진군,울진군의료원,11,105,054-785-7027,경상북도 울진군 울진읍 현내항길 71,36.9927492,129.4100665,,,
경북 의성군,삼성연합의원(의성),7,29,054-861-5353,경상북도 의성군 안계면 안계길 171,36.3863022,128.4346149,,,
경북 의성군,진연합의원,7,29,054-832-7588,경상북도 의성군 의성읍 문소3길 109,36.35552,128.6938308,,,
경북 청도군,청도대남병원,8,230,054-370-5105,경상북도 청도군 화양읍 청화로 79-7,35.6486172,128.7368285,,,
경북 청송군,청송군보건의료원,6,48,054-873-7100,경북 청송군 청송읍 의료원길 19,36.4310601,129.0522753,,,
경북 칠곡군,혜원성모병원,5,340,054-979-7114,"경상북도 칠곡군 약목면 관호7길 41, 혜원성모병원",36.0031661,128.3837671,,,
경북 포항시,경상북도립 포항노인전문요양병원,3,179,054-245-0138,경상북도 포항시 북구 용흥로 36 (용흥동),36.0350941,129.3544868,,,
경북 포항시,좋은선린요양병원,8,347,054-245-6101,경북 포항시 북구 대신로 27,36.0466002,129.3666203,,,
경북 포항시,포항의료원,14,359,054-247-0551,경상북도 포항시 북구 용흥로 36 (용흥동),36.0350941,129.3544868,,Y,N
광주 서구,선한병원,9,193,062-466-1000,광주광역시 서구 무진대로 975,35.161428,126.8871751,,,
대구 북구,태전정형외과연합의원,6,29,053-324-7585,대구광역시 북구 칠곡중앙대로 302 (태전동),35.9225816,128.5472324,,,
대구 동구,바로본병원,7,200,053-721-8575,대구광역시 동구 국채보상로 769,35.8684136,128.6152023,,,
대전 서구,김봉천정형외과의원,6,29,042-541-4330,대전광역시 서구 계백로 1130 (가수원동),36.3038352,127.3490511,,,
부산시 금정구,세웅병원,9,225,051-500-9700,부산 금정구 부산 금정구 서동로 162(서동),35.214399,129.1040842,Y,,
부산시 기장군,기장병원,7,180,051-723-0171,부산광역시 기장군 기장읍 대청로72번길 6,35.2358805,129.216446,Y,,
부산시 남구,부산성소병원,7,203,051-0633-1123,부산시 남구 부산광역시 남구 수영로175(대연동),35.1371965,129.0853385,,,
부산시 동래구,부산힘찬병원,5,162,051-559-0120,부산시 동래구 충렬대로 255,35.2017456,129.0883998,,,
부산시 북구,구포부민병원,4,117,051-366-7122,부산시 북구 사상로 607,35.1982749,128.9906321,,,
부산시 해운대구,효성시티병원,10,149,051-709-3009,부산시 해운대구 해운대로135,35.1852051,129.1214648,Y,,
부산시 사하구,중앙U병원,12,212,051-293-7766,부산광역시 사하구 감천로 59 (감천동),35.0902575,128.9993641,,,
부산시 수영구,서호병원,6,280,051-902-7777,부산광역시 수영구 광남로 117 (광안동),35.1520865,129.1155249,,,
부산시 영도구,수도의원,5,0,051-416-4031,부산광역시 영도구 태종로 160 (봉래동4가),35.0925539,129.0490301,,,
서울시 강남구,강남베드로병원,8,176,02-1544-7522,남부순환로 2633(도곡동 914-2),37.4853251,127.0377431,Y,,
서울시 강동구,강동성모요양병원,4,250,02-488-0020,서울특별시 강동구 올림픽로80길31,37.5434384,127.1271679,,,
서울시 강북구,신일병원,3,48,02-903-5121,서울특별시 강북구 덕릉로 73 (수유동),37.634739,127.0218135,,,
서울시 강서구,강서연세병원,7,99,02-2658-5114,서울특별시 강서구 양천로 712 (염창동),37.5537567,126.8709248,,,
서울시 강서구,강서힘찬병원,6,116,1899-2228,서울시 강서구 강서로56길 38(등촌동),37.5591521,126.8406563,,,
서울시 관악구,사랑의병원,5,78,02-880-0114,서울특별시 관악구 남부순환로 1860 (봉천동),37.479575,126.9562705,,,
서울시 광진구,김종웅내과의원,2,0,02-455-4038,서울시 광진구 용마산로 44,37.5575847,127.0881598,,,
서울시 구로구,권내과의원,2,0,02-2685-6612,서울시 구로구 경안로40길 34(개봉동),37.4953627,126.8587916,,,
서울시 금천구,연세조내과,1,0,02-803-2134,서울특별시 금천구 시흥대로58길 5 (시흥동),37.4537081,126.9015364,,,
서울시 금천구,서울으뜸정형외과의원,5,0,02-807-0111,"서울시 금천구 독산로 210, 2층",37.4657313,126.9023778,,,
서울시 노원구,밝은미래안과,1,0,02-939-3075,"서울특별시 노원구 동일로 1548, 세일빌딩 4층 (상계동)",37.666624,127.0576052,,,
서울시 노원구,삼성드림이비인후과,4,0,02-935-1365,"서울특별시 노원구 노해로 482, 덕영빌딩 4층 (상계동)",37.6542324,127.0617,,,
서울시 노원구,새서울병원,6,65,02-930-5858,서울특별시 노원구 동일로 1678 (상계동),37.6780617,127.0557023,,,
서울시 노원구,어비뇨기과,1,0,02-930-0131,서울특별시 노원구 동일로 1401 (상계동),37.6535305,127.0603489,,,
서울시 도봉구,도봉병원,12,258,02-3492-3250,서울특별시 도봉구 도봉로 720 (방학동),37.6686287,127.0470496,,,
서울시 동대문구,서울나은병원,5,72,1544-6003,서울특별시 동대문구 왕산로 137(제기동),37.5860704,127.0340314,,,
서울시 동대문구,현대중앙의원,2,29,02-2244-9600,서울특별시 동대문구 사가정로 110 (전농동),37.5769494,127.057249,,,
서울시 동작구,의료법인성석의료재단 동작경희병원,8,150,02-822-8112,서울특별시 동작구 상도로 146,37.5024424,126.9358514,,,
서울시 마포구,박상수내과의원,1,0,02-332-5460,서울특별시 마포구 독막로 22 (합정동),37.5481982,126.9157524,,,
서울시 마포구,예담정형외과의원,1,0,02-335-2500,서울 마포구 독막로 22(합정동 청명빌딩 3층),37.5481982,126.9157524,,,
서울시 마포구,서울본내과의원,6,10,02-3143-2220,서울특별시 마포구 양화로133,37.555201,126.9209634,,,
서울시 서대문구,한양그린내과의원,1,0,02-379-3377,"서울특별시 서대문구 통일로 413, 화인빌딩 2층 (홍제동)",37.5861499,126.9464328,,,
서울시 서초구,김일중내과,1,0,02-3473-1356,서울특별시 서초구 효령로 396 (서초동),37.48786,127.0272125,,,
서울시 성동구,9988병원,5,45,02-2297-9988,서울특별시 성동구 왕십리로269,37.5585429,127.037478,,,
서울시 성북구,서울척병원,7,98,1599-0033,서울특별시 성북구 동소문로 47길 8,37.6087865,127.0292221,Y,,
서울시 성북구,의료법인 유라의료재단 온누리요양병원,3,195,02-919-2700,서울특별시 성북구 화랑로 271 (장위동),37.6120429,127.0586642,,,
서울시 송파구,서울수내과의원,1,0,02-414-9919,"서울특별시 송파구 송파대로 389, 2층 (석촌동)",37.5056519,127.0974409,,,
서울시 양천구,메디힐병원,8,120,02-2604-7551,서울특별시 양천구 남부순환로 331 (신월동),37.5372198,126.8278378,Y,,
서울시 영등포구,jc빛소망 안과,1,0,02-785-1068,"서울특별시 영등포구 국제금융로 6길 33, 6층(여의도동)",37.5207606,126.926893,,,
서울시 영등포구,아이비이비인후과,1,1,02-784-7533,서울 영등포구 여의도동 43-4,37.5199093,126.9317832,,,
서울시 영등포구,윤문수비뇨기과,1,0,02-2069-0221,"서울특별시 영등포구 영중로 46, 4층 (영등포동5가)",37.5223303,126.9054939,,,
서울시 영등포구,의료법인 영등포병원,7,132,02-2632-0013,서울 영등포구 당산로 31길 10,37.5268013,126.8959163,,,
서울시 영등포구,김종률내과의원,1,0,02-831-1585,서울 영등포구 신길로 28,37.5027881,126.9117791,,,
서울시 용산구,김내과의원,1,0,02-703-2226,서울특별시 용산구 백범로 281 (효창동),37.5417318,126.9613055,,,
서울시 은평구,본서부병원,6,90,02-3156-5020,서울특별시 은평구 은평로133,37.600696,126.9225682,Y,,
서울시 종로구,서울적십자병원,19,360,02-2002-8000,서울특별시 종로구 새문안로 9 (평동),37.56881,126.9651239,Y,Y,Y
서울시 중구,삼성푸른의원,1,0,02-2231-4154,서울특별시 중구 다산로42길 80 (신당동),37.5636197,127.0205404,,,
서울시 중랑구,팔팔(88)병원,4,86,1899-8875,서울특별시 중랑구 동일로 679,37.5908852,127.0796598,,,
서울시 중랑구,건강한 성심의원,4,29,02-437-6152,서울특별시 중랑구 용마산로 503,37.5960691,127.0999045,,,
세종특별자치시,이내과의원,1,0,041-865-3571,세종특별자치시 조치원읍 조치원로 31,36.6042964,127.2985208,,,
울산 남구,울산병원,17,398,052-259-5132,울산광역시 남구 월평로171번길 13 (신정동),35.546209,129.3230784,Y,,
울산 동구,마디정형외과의원,5,29,052-235-5858,울산광역시 동구 방어진순환도로 577,35.4934985,129.4264937,,,
울산 동구,신내과의원,1,24,052-252-9477,울산광역시 동구 방어진순환도로 651,35.5000003,129.4282564,,,
울산 울주군,서울산보람병원,14,425,052-255-7114,울산광역시 울주군 삼남면 중평로 53,35.5596168,129.1205746,Y,,
울산 중구,울산세민병원 (의)청남의료재단,4,158,052-292-2000,울산광역시 중구 학성로 184 (학성동),35.556588,129.3309785,,,
울산 북구,울산시티병원,13,252,052-280-9000,울산광역시 북구 산업로 1007,35.582894,129.3588552,Y,,
인천시 강화군,강화병원,13,160,032-930-8111,인천광역시 강화군 강화읍 강화대로312번길 11,37.7433105,126.4954153,,,
인천시 계양구,의료법인인성의료재단 한림병원,17,349,032-540-9114,인천광역시 계양구 장제로 722 (작전동),37.5239391,126.7332109,Y,,
인천시 미추홀구,의료법인 담우의료재단 현대유비스병원,6,242,032-888-7575,인천광역시 남구 독배로 503 (숭의동),37.4614899,126.6429794,Y,,
인천시 남동구,봄날요양병원,7,239,032-464-9101,인천광역시 남동구 인주대로 806 (구월동),37.4483203,126.7267571,,,
인천시 동구,인천광역시의료원,16,324,032-580-6000,인천시 동구 방축길 159,37.484578,126.6547403,,Y,Y
인천시 부평구,부평세림병원,11,293,032-509-5555,인천광역시 부평구 길주로 510 (청천동),37.5073304,126.7189172,Y,,
인천시 연수구,인천적십자병원,9,162,032-899-4000,인천광역시 연수구 원인재로 263 (연수동),37.418596,126.6888374,Y,,
인천시 옹진군,인천광역시의료원 백령병원,5,30,032-836-1731,인천시 옹진군 백령로 254번길 52-12,37.9727331,124.7233463,,Y,Y
전남 강진군,강진의료원,9,120,061-4332-1679,전남 강진군 강진읍 서성리 305-1,34.6373797,126.7568346,,Y,Y
전남 고흥군,고흥종합병원,12,251,061-835-6000,전라남도 고흥군 고흥읍 고흥로 1935,34.6210043,127.2939397,Y,,
전남 고흥군,녹동현대병원,7,130,061-840-1200,전남 고흥군 도양읍 차경구렁목길 215,34.5465248,127.1457469,Y,,
전남 곡성군,곡성사랑병원,6,114,061-360-6000,전라남도 곡성군 곡성읍 곡성로 761,35.2763301,127.2882945,,,
